method,fpr_location,arp_location,fpr_type,arp_type,fpr_inter,IRP
2000,"[0.6922222222222222, 0.3727810650887574, 0.5739795918367347, 0.31505102040816324]",0.37717120181405894,"[0.6420118343195266, 0.35798816568047337]",0.2840236686390532,"[0.7381656804733728, 0.5295566502463054, 0.22131147540983606, 0.4642857142857143, 0.6720430107526881, 0.5384615384615384, 0.5536723163841808, 0.2018181818181818]",0.536347498655191
2001,"[0.7122222222222222, 0.3698224852071006, 0.5982142857142857, 0.27040816326530615]",0.44181405895691606,"[0.6084812623274162, 0.3915187376725838]",0.21696252465483234,"[0.7707100591715976, 0.5197044334975369, 0.1885245901639344, 0.47619047619047616, 0.7150537634408602, 0.5547337278106509, 0.3954802259887006, 0.24]",0.5821854690076632
2002,"[0.7, 0.4511834319526627, 0.6096938775510204, 0.20280612244897958]",0.4971938775510204,"[0.5690335305719921, 0.43096646942800787]",0.13806706114398426,"[0.7248520710059172, 0.5689655172413793, 0.2459016393442623, 0.5575396825396826, 0.6129032258064516, 0.5961538461538461, 0.384180790960452, 0.1509090909090909]",0.5739429800968263
2003,"[0.6888888888888889, 0.39201183431952663, 0.5892857142857143, 0.2869897959183674]",0.4018990929705215,"[0.5621301775147929, 0.4378698224852071]",0.12426035502958577,"[0.7337278106508875, 0.5295566502463054, 0.1762295081967213, 0.5119047619047619, 0.5698924731182796, 0.584319526627219, 0.4180790960451977, 0.24909090909090909]",0.5574983024541662
2004,"[0.6577777777777778, 0.4807692307692308, 0.5701530612244898, 0.2653061224489796]",0.3924716553287982,"[0.6104536489151874, 0.3895463510848126]",0.22090729783037477,"[0.7292899408284024, 0.46798029556650245, 0.32786885245901637, 0.5575396825396826, 0.6236559139784946, 0.5473372781065089, 0.4322033898305085, 0.20909090909090908]",0.5201990317374933
2005,"[0.68, 0.45710059171597633, 0.5522959183673469, 0.2780612244897959]",0.4019387755102041,"[0.606508875739645, 0.39349112426035504]",0.21301775147928992,"[0.7455621301775148, 0.49014778325123154, 0.4139344262295082, 0.48412698412698413, 0.543010752688172, 0.5488165680473372, 0.3728813559322034, 0.26545454545454544]",0.4801075847229694
2006,"[0.7066666666666667, 0.4511834319526627, 0.5497448979591837, 0.25510204081632654]",0.45156462585034013,"[0.5818540433925049, 0.4181459566074951]",0.1637080867850098,"[0.7470414201183432, 0.5467980295566502, 0.35655737704918034, 0.503968253968254, 0.5913978494623656, 0.5325443786982249, 0.3135593220338983, 0.27090909090909093]",0.47613232920925225
2007,"[0.6911111111111111, 0.4349112426035503, 0.6007653061224489, 0.23596938775510204]",0.4551417233560091,"[0.606508875739645, 0.39349112426035504]",0.21301775147928992,"[0.7292899408284024, 0.541871921182266, 0.3155737704918033, 0.501984126984127, 0.6451612903225806, 0.5769230769230769, 0.4180790960451977, 0.17636363636363636]",0.552926304464766
2008,"[0.7244444444444444, 0.4156804733727811, 0.5497448979591837, 0.2653061224489796]",0.45913832199546484,"[0.6104536489151874, 0.3895463510848126]",0.22090729783037477,"[0.7662721893491125, 0.5541871921182266, 0.3155737704918033, 0.47619047619047616, 0.6290322580645161, 0.522189349112426, 0.3672316384180791, 0.2509090909090909]",0.5153630984400215
2009,"[0.6933333333333334, 0.46893491124260356, 0.5994897959183674, 0.20535714285714285]",0.4879761904761905,"[0.5907297830374754, 0.40927021696252464]",0.18145956607495073,"[0.764792899408284, 0.4876847290640394, 0.27459016393442626, 0.5674603174603174, 0.6666666666666666, 0.5695266272189349, 0.3220338983050847, 0.19454545454545455]",0.5702474448628294
2010,"[0.6866666666666666, 0.4260355029585799, 0.5816326530612245, 0.26785714285714285]",0.4188095238095238,"[0.6084812623274162, 0.3915187376725838]",0.21696252465483234,"[0.75, 0.4975369458128079, 0.32786885245901637, 0.48412698412698413, 0.5860215053763441, 0.5710059171597633, 0.4067796610169492, 0.2290909090909091]",0.5209090909090909
2011,"[0.7144444444444444, 0.4260355029585799, 0.5727040816326531, 0.24489795918367346]",0.469546485260771,"[0.6074950690335306, 0.39250493096646943]",0.21499013806706113,"[0.772189349112426, 0.5221674876847291, 0.26229508196721313, 0.5158730158730159, 0.6344086021505376, 0.5473372781065089, 0.3813559322033898, 0.21272727272727274]",0.5594620763851532
2012,"[0.6944444444444444, 0.46005917159763315, 0.5739795918367347, 0.2372448979591837]",0.45719954648526073,"[0.5818540433925049, 0.4181459566074951]",0.1637080867850098,"[0.7677514792899408, 0.4852216748768473, 0.2459016393442623, 0.5694444444444444, 0.6021505376344086, 0.5576923076923077, 0.3446327683615819, 0.22545454545454546]",0.5422969338353953
2013,"[0.7377777777777778, 0.4363905325443787, 0.5331632653061225, 0.24872448979591838]",0.4890532879818594,"[0.6055226824457594, 0.39447731755424065]",0.2110453648915187,"[0.7810650887573964, 0.5591133004926109, 0.3114754098360656, 0.5059523809523809, 0.5806451612903226, 0.5162721893491125, 0.3531073446327684, 0.23636363636363636]",0.5447014523937601
2014,"[0.6744444444444444, 0.47633136094674555, 0.5612244897959183, 0.25892857142857145]",0.41551587301587295,"[0.5818540433925049, 0.4181459566074951]",0.1637080867850098,"[0.7662721893491125, 0.4433497536945813, 0.29918032786885246, 0.5654761904761905, 0.5806451612903226, 0.5488165680473372, 0.3220338983050847, 0.27090909090909093]",0.4953630984400215
2015,"[0.7255555555555555, 0.46893491124260356, 0.5318877551020408, 0.23596938775510204]",0.4895861678004535,"[0.5986193293885601, 0.40138067061143984]",0.19723865877712027,"[0.7914201183431953, 0.5147783251231527, 0.29508196721311475, 0.5575396825396826, 0.5645161290322581, 0.5192307692307693, 0.3333333333333333, 0.2309090909090909]",0.5605110274341043
2016,"[0.7111111111111111, 0.47041420118343197, 0.5165816326530612, 0.26658163265306123]",0.4445294784580499,"[0.6055226824457594, 0.39447731755424065]",0.2110453648915187,"[0.7662721893491125, 0.5246305418719212, 0.32786885245901637, 0.5436507936507936, 0.5913978494623656, 0.4940828402366864, 0.3644067796610169, 0.2545454545454545]",0.5117267348036579
2017,"[0.6877777777777778, 0.47781065088757396, 0.5395408163265306, 0.26403061224489793]",0.4237471655328799,"[0.5473372781065089, 0.4526627218934911]",0.09467455621301779,"[0.6878698224852071, 0.603448275862069, 0.29508196721311475, 0.5694444444444444, 0.5698924731182796, 0.5266272189349113, 0.3813559322033898, 0.24]",0.4478698224852071
2018,"[0.6611111111111111, 0.5044378698224852, 0.5586734693877551, 0.25255102040816324]",0.40856009070294785,"[0.5512820512820513, 0.44871794871794873]",0.10256410256410259,"[0.7115384615384616, 0.5049261083743842, 0.3319672131147541, 0.5873015873015873, 0.5483870967741935, 0.5547337278106509, 0.3333333333333333, 0.2545454545454545]",0.45699300699300704
2019,"[0.68, 0.4985207100591716, 0.5306122448979592, 0.26403061224489793]",0.4159693877551021,"[0.5660749506903353, 0.4339250493096647]",0.13214990138067062,"[0.7056213017751479, 0.5566502463054187, 0.30327868852459017, 0.5932539682539683, 0.5913978494623656, 0.5103550295857988, 0.384180790960452, 0.2381818181818182]",0.46743948359332976
2020,"[0.6655555555555556, 0.4452662721893491, 0.5395408163265306, 0.31760204081632654]",0.34795351473922903,"[0.5788954635108481, 0.42110453648915186]",0.15779092702169623,"[0.7026627218934911, 0.5295566502463054, 0.3729508196721312, 0.4880952380952381, 0.5, 0.5458579881656804, 0.4265536723163842, 0.2872727272727273]",0.4153899946207638
Kemeny,"[0.7122222222222222, 0.4452662721893491, 0.5701530612244898, 0.23341836734693877]",0.47880385487528343,"[0.6015779092702169, 0.398422090729783]",0.2031558185404339,"[0.7751479289940828, 0.5123152709359606, 0.2786885245901639, 0.5337301587301587, 0.5967741935483871, 0.5547337278106509, 0.3672316384180791, 0.20545454545454545]",0.5696933835395374
Weighted_Kemeny,"[0.7122222222222222, 0.4630177514792899, 0.5561224489795918, 0.23214285714285715]",0.48007936507936505,"[0.5976331360946746, 0.40236686390532544]",0.19526627218934917,"[0.7707100591715976, 0.5197044334975369, 0.29098360655737704, 0.5515873015873016, 0.5967741935483871, 0.5384615384615384, 0.3559322033898305, 0.2109090909090909]",0.5598009682625067
Fair_Kemeny,"[0.5322222222222223, 0.4985207100591716, 0.5318877551020408, 0.43239795918367346]",0.0998242630385488,"[0.4980276134122288, 0.5019723865877712]",0.0039447731755424265,"[0.5369822485207101, 0.5098522167487685, 0.4385245901639344, 0.5277777777777778, 0.5376344086021505, 0.5266272189349113, 0.4463276836158192, 0.4381818181818182]",0.09945259042033233
Fair_Schulze,"[0.5288888888888889, 0.5014792899408284, 0.5293367346938775, 0.4362244897959184]",0.09311224489795916,"[0.4940828402366864, 0.5059171597633136]",0.011834319526627224,"[0.5310650887573964, 0.5123152709359606, 0.44672131147540983, 0.5277777777777778, 0.532258064516129, 0.5251479289940828, 0.4435028248587571, 0.44545454545454544]",0.08875523965737192
Fair_Borda,"[0.5188888888888888, 0.4985207100591716, 0.5344387755102041, 0.4451530612244898]",0.08928571428571436,"[0.4960552268244576, 0.5039447731755424]",0.007889546351084853,"[0.522189349112426, 0.5049261083743842, 0.4385245901639344, 0.5277777777777778, 0.532258064516129, 0.5310650887573964, 0.4717514124293785, 0.44]",0.09373347435219459
Fair_Copeland,"[0.5311111111111111, 0.5014792899408284, 0.5306122448979592, 0.43239795918367346]",0.09871315192743763,"[0.4940828402366864, 0.5059171597633136]",0.011834319526627224,"[0.5325443786982249, 0.5147783251231527, 0.4344262295081967, 0.5337301587301587, 0.532258064516129, 0.5266272189349113, 0.4491525423728814, 0.43636363636363634]",0.09930392922196202
Pick_Fairest_Perm,"[0.6655555555555556, 0.4452662721893491, 0.5395408163265306, 0.31760204081632654]",0.34795351473922903,"[0.5788954635108481, 0.42110453648915186]",0.15779092702169623,"[0.7026627218934911, 0.5295566502463054, 0.3729508196721312, 0.4880952380952381, 0.5, 0.5458579881656804, 0.4265536723163842, 0.2872727272727273]",0.4153899946207638
Correct_Fairest_Perm,"[0.52, 0.47485207100591714, 0.5395408163265306, 0.45918367346938777]",0.08035714285714285,"[0.5029585798816568, 0.4970414201183432]",0.00591715976331364,"[0.5251479289940828, 0.5024630541871922, 0.45491803278688525, 0.4880952380952381, 0.5, 0.5458579881656804, 0.4915254237288136, 0.44727272727272727]",0.09858526089295316
